Team,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Postseason
Atlanta Braves,35,27.7,4.06,90,72,.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,110,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128,1
Baltimore Orioles,30,27.1,5.51,47,115,.290,5.18,162,162,160,2,7,0,28,1431.0,1552,892,824,234,589,29,1203,67,8,81,6340,83,4.98,1.496,9.8,1.5,3.7,7.6,2.04,1155,0
Boston Red Sox,23,28.9,3.99,108,54,.667,3.75,162,162,160,2,14,0,46,1458.2,1305,647,608,176,512,8,1558,84,3,51,6166,118,3.82,1.246,8.1,1.1,3.2,9.6,3.04,1143,1
Chicago Cubs,35,30.2,3.96,95,68,.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,115,4.13,1.315,8.0,1.0,3.8,8.1,2.14,1190,1
Chicago White Sox,31,27.6,5.23,62,100,.383,4.83,162,162,162,0,8,0,34,1437.0,1404,848,771,196,653,25,1259,89,9,94,6339,88,4.73,1.431,8.8,1.2,4.1,7.9,1.93,1180,0
Cincinnati Reds,32,27.1,5.06,67,95,.414,4.63,162,162,161,1,6,0,38,1441.0,1491,819,741,228,532,60,1258,50,8,48,6279,90,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137,0
Cleveland Indians,27,29.4,4.00,91,71,.562,3.77,162,162,157,5,17,2,41,1457.1,1349,648,611,200,407,29,1544,59,2,54,6071,115,3.78,1.205,8.3,1.2,2.5,9.5,3.79,1051,1
Colorado Rockies,21,27.9,4.57,91,72,.558,4.33,163,163,163,0,10,0,51,1452.1,1377,745,699,184,525,24,1409,52,8,70,6154,109,4.06,1.310,8.5,1.1,3.3,8.7,2.68,1052,1
Detroit Tigers,27,28.6,4.91,64,98,.395,4.58,162,162,162,0,2,0,37,1425.1,1423,796,726,216,491,20,1215,60,4,54,6130,98,4.58,1.343,9.0,1.4,3.1,7.7,2.47,1058,0
Houston Astros,22,30.0,3.30,103,59,.636,3.11,162,162,159,3,12,2,46,1455.0,1164,534,503,152,435,4,1687,66,4,67,5913,134,3.23,1.099,7.2,0.9,2.7,10.4,3.88,1014,1
Kansas City Royals,27,27.6,5.14,58,104,.358,4.94,162,162,160,2,8,0,33,1432.0,1542,833,786,205,549,28,1157,51,4,68,6284,88,4.66,1.460,9.7,1.3,3.5,7.3,2.11,1155,0
Los Angeles Angels,35,27.5,4.46,80,82,.494,4.15,162,162,161,1,9,1,35,1437.1,1353,722,662,205,546,17,1386,65,3,87,6108,102,4.36,1.321,8.5,1.3,3.4,8.7,2.54,1074,0
Los Angeles Dodgers,31,29.2,3.74,92,71,.564,3.38,163,163,163,0,11,0,48,1476.0,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.60,1.152,7.8,1.1,2.6,9.5,3.71,1058,1
Miami Marlins,29,27.6,5.02,63,98,.391,4.76,161,161,160,1,12,0,30,1442.0,1388,809,762,192,605,73,1249,71,6,47,6236,81,4.56,1.382,8.7,1.2,3.8,7.8,2.06,1101,0
Milwaukee Brewers,30,28.8,4.04,96,67,.589,3.73,163,163,163,0,14,0,49,1461.0,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.240,7.8,1.1,3.4,8.8,2.58,1072,1
Minnesota Twins,36,28.5,4.78,78,84,.481,4.50,162,162,160,2,7,1,37,1443.1,1425,775,721,198,573,34,1377,80,0,59,6287,96,4.39,1.384,8.9,1.2,3.6,8.6,2.40,1182,0
New York Mets,30,28.0,4.36,77,85,.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,92,3.97,1.265,8.4,1.1,3.0,8.9,2.99,1089,0
New York Yankees,27,28.8,4.13,100,62,.617,3.78,162,162,160,2,11,2,49,1456.1,1311,669,611,177,494,9,1634,58,4,73,6141,112,3.63,1.239,8.1,1.1,3.1,10.1,3.31,1103,1
Oakland Athletics,34,29.2,4.16,97,65,.599,3.81,162,162,160,2,14,2,44,1465.2,1303,674,621,184,474,19,1237,53,2,86,6099,109,4.18,1.212,8.0,1.1,2.9,7.6,2.61,1028,1
Philadelphia Phillies,31,26.8,4.49,80,82,.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,100,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073,0
Pittsburgh Pirates,24,26.5,4.30,82,79,.509,4.00,161,161,158,3,16,2,40,1434.0,1380,693,637,174,497,43,1336,69,6,95,6144,98,4.06,1.309,8.7,1.1,3.1,8.4,2.69,1149,0
San Diego Padres,30,27.7,4.73,66,96,.407,4.40,162,162,162,0,5,0,36,1457.0,1430,767,713,185,519,28,1399,68,4,52,6254,88,4.10,1.338,8.8,1.1,3.2,8.6,2.70,1116,0
Seattle Mariners,32,29.0,4.39,89,73,.549,4.13,162,162,159,3,12,1,60,1448.2,1396,711,664,195,400,21,1328,72,3,57,6073,99,4.05,1.240,8.7,1.2,2.5,8.3,3.32,1016,0
San Francisco Giants,27,28.6,4.31,73,89,.451,3.95,162,162,161,1,15,1,36,1461.1,1387,699,641,156,524,37,1269,45,4,44,6191,97,3.98,1.308,8.5,1.0,3.2,7.8,2.42,1108,0
St. Louis Cardinals,30,26.7,4.27,88,74,.543,3.85,162,162,161,1,8,1,43,1455.1,1354,691,622,144,593,49,1337,67,4,63,6271,101,3.97,1.338,8.4,0.9,3.7,8.3,2.25,1214,0
Tampa Bay Rays,31,27.1,3.99,90,72,.556,3.74,162,162,162,0,14,0,52,1448.1,1236,646,602,164,501,34,1421,53,6,55,5992,110,3.82,1.199,7.7,1.0,3.1,8.8,2.84,1001,0
Texas Rangers,32,30.4,5.23,67,95,.414,4.92,162,162,161,1,5,0,42,1431.0,1516,848,783,222,491,23,1121,72,8,57,6231,97,4.79,1.403,9.5,1.4,3.1,7.1,2.28,1090,0
Toronto Blue Jays,36,29.3,5.14,73,89,.451,4.85,162,162,162,0,3,0,39,1433.2,1476,832,772,208,551,19,1298,67,5,71,6265,88,4.53,1.414,9.3,1.3,3.5,8.1,2.36,1132,0
Washington Nationals,31,30.2,4.21,82,80,.506,4.04,162,162,160,2,7,1,40,1446.0,1320,682,649,198,487,37,1417,76,6,42,6087,106,4.15,1.250,8.2,1.2,3.0,8.8,2.91,1067,0
